t,K_B,K_B_prony,K_C,K_C_prony
0.3087719298,5.49401466e-09,3.76960847e-09,-1.81331041e-05,-1.411943191e-05
0.3097744361,8.399607569e-07,3.535465442e-09,-1.812426465e-05,-1.36505703e-05
0.3107769424,1.394728816e-06,3.315866407e-09,-1.794712774e-05,-1.319728211e-05
0.3117794486,9.377498768e-07,3.109907902e-09,-1.710967924e-05,-1.275904982e-05
0.3127819549,2.9859616e-08,2.916742589e-09,-1.598575678e-05,-1.233537312e-05
0.3137844612,-1.970589629e-07,2.735575773e-09,-1.533317966e-05,-1.192576833e-05
0.3147869674,5.162113157e-07,2.565662125e-09,-1.532647449e-05,-1.152976788e-05
0.3157894737,1.231946417e-06,2.40630262e-09,-1.533786962e-05,-1.114691973e-05
0.3167919799,1.016068203e-06,2.256841658e-09,-1.474041922e-05,-1.077678688e-05
0.3177944862,1.264903212e-07,2.116664365e-09,-1.370501142e-05,-1.041894685e-05
0.3187969925,-3.225670249e-07,1.985194067e-09,-1.297730973e-05,-1.007299122e-05
0.3197994987,2.164140153e-07,1.86188991e-09,-1.292486093e-05,-9.738525143e-06
0.320802005,1.031188419e-06,1.746244641e-09,-1.307128298e-05,-9.4151669e-06
0.3218045113,1.063799155e-06,1.637782516e-09,-1.270710127e-05,-9.102547462e-06
0.3228070175,2.587558841e-07,1.536057347e-09,-1.17933396e-05,-8.800310069e-06
0.3238095238,-3.726454562e-07,1.44065066e-09,-1.100640568e-05,-8.508109821e-06
0.3248120301,-4.569207321e-08,1.351169979e-09,-1.087251737e-05,-8.22561328e-06
0.3258145363,8.00691161e-07,1.267247207e-09,-1.109860769e-05,-7.952498095e-06
0.3268170426,1.069951364e-06,1.188537112e-09,-1.094980307e-05,-7.688452626e-06
0.3278195489,4.07189177e-07,1.114715909e-09,-1.018674275e-05,-7.433175595e-06
0.3288220551,-3.53814943e-07,1.045479926e-09,-9.366679522e-06,-7.186375734e-06
0.3298245614,-2.587979565e-07,9.80544352e-10,-9.129132231e-06,-6.947771457e-06
0.3308270677,5.519864297e-07,9.196420708e-10,-9.381220558e-06,-6.717090536e-06
0.3318295739,1.028833081e-06,8.625225571e-10,-9.419877087e-06,-6.49406979e-06
0.3328320802,5.537571585e-07,8.089508479e-10,-8.829759282e-06,-6.278454784e-06
0.3338345865,-2.757586187e-07,7.587065753e-10,-8.009647581e-06,-6.069999537e-06
0.3348370927,-4.143579571e-07,7.115830599e-10,-7.659755981e-06,-5.868466244e-06
0.335839599,2.983086632e-07,6.673864606e-10,-7.888576184e-06,-5.673625e-06
0.3368421053,9.388320281e-07,6.259349767e-10,-8.078033487e-06,-5.485253541e-06
0.3378446115,6.815315172e-07,5.870581005e-10,-7.673993915e-06,-5.303136987e-06
0.3388471178,-1.514624642e-07,5.505959153e-10,-6.890701071e-06,-5.127067598e-06
0.3398496241,-5.069657359e-07,5.163984376e-10,-6.433266796e-06,-4.956844537e-06
0.3408521303,5.469141201e-08,4.843250004e-10,-6.597173763e-06,-4.792273638e-06
